WARNING 2025-07-06 20:59:50,388 basehttp 7755 140092124427968 "GET /api/v1/quotes/ HTTP/1.1" 401 33
WARNING 2025-07-06 20:59:51,458 log 7755 140092124427968 Unauthorized: /api/v1/customers/
WARNING 2025-07-06 20:59:51,459 basehttp 7755 140092124427968 "GET /api/v1/customers/ HTTP/1.1" 401 33
WARNING 2025-07-06 21:00:04,788 log 7755 140092124427968 Unauthorized: /api/v1/customers/
WARNING 2025-07-06 21:00:04,789 basehttp 7755 140092124427968 "GET /api/v1/customers/ HTTP/1.1" 401 33
INFO 2025-07-06 21:01:50,900 basehttp 7755 140092124427968 "OPTIONS /api/v1/customers/ HTTP/1.1" 200 0
INFO 2025-07-06 21:01:50,917 basehttp 7755 140092124427968 "GET /api/v1/customers/ HTTP/1.1" 200 261
INFO 2025-07-06 21:02:48,872 autoreload 15864 140307273666688 Watching for file changes with StatReloader
INFO 2025-07-06 21:02:56,241 basehttp 15864 140307119208128 "OPTIONS /api/v1/customers/ HTTP/1.1" 200 0
INFO 2025-07-06 21:02:56,279 basehttp 15864 140307119208128 "GET /api/v1/customers/ HTTP/1.1" 200 261
INFO 2025-07-06 21:02:57,132 basehttp 15864 140307119208128 "GET /api/v1/customers/ HTTP/1.1" 200 261
INFO 2025-07-06 21:03:32,903 basehttp 15864 140307119208128 "OPTIONS /api/v1/customers/ HTTP/1.1" 200 0
INFO 2025-07-06 21:03:32,915 basehttp 15864 140307119208128 "GET /api/v1/customers/ HTTP/1.1" 200 261
INFO 2025-07-06 21:04:04,637 basehttp 15864 140307119208128 "OPTIONS /api/v1/quotes/ HTTP/1.1" 200 0
INFO 2025-07-06 21:04:04,651 basehttp 15864 140307119208128 "GET /api/v1/quotes/ HTTP/1.1" 200 170
INFO 2025-07-06 21:04:06,816 basehttp 15864 140307119208128 "OPTIONS /api/v1/projects/ HTTP/1.1" 200 0
INFO 2025-07-06 21:04:06,830 basehttp 15864 140307119208128 "GET /api/v1/projects/ HTTP/1.1" 200 249
INFO 2025-07-06 21:04:08,255 basehttp 15864 140307119208128 "OPTIONS /api/v1/customers/ HTTP/1.1" 200 0
INFO 2025-07-06 21:04:08,266 basehttp 15864 140307119208128 "GET /api/v1/customers/ HTTP/1.1" 200 261
INFO 2025-07-06 21:04:18,741 basehttp 15864 140307119208128 "OPTIONS /api/v1/customers/ HTTP/1.1" 200 0
WARNING 2025-07-06 21:04:18,744 log 15864 140307119208128 Unauthorized: /api/v1/customers/
WARNING 2025-07-06 21:04:18,744 basehttp 15864 140307119208128 "GET /api/v1/customers/ HTTP/1.1" 401 193
WARNING 2025-07-06 21:04:51,864 log 15864 140307110815424 Unauthorized: /api/v1/customers/
WARNING 2025-07-06 21:04:51,864 basehttp 15864 140307110815424 "GET /api/v1/customers/ HTTP/1.1" 401 5182
INFO 2025-07-06 21:04:51,885 basehttp 15864 140307110815424 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
